metric,trial,challenge_cluster_means,threat_cluster_means,nonresponder_cluster_means
SCR,1,0.156323139,0.605859306,-0.239475459
SCR,2,-0.041834999,0.328186099,-0.478372606
SCR,3,0.226637317,0.635399009,-0.239475459
SCR,4,0.060440169,0.44043697,-0.321853785
SCL,1,0.195763612,1.24441197,-0.395496523
SCL,2,0.003878575,0.850244246,-0.592902764
SCL,3,0.150821807,1.06619379,-0.570059031
SCL,4,-0.011886352,0.904394736,-0.621912283
RR,1,-0.002237502,-0.492442084,0.002589376
RR,2,0.052939658,0.045888823,0.108597163
RR,3,-0.032059664,-0.110832499,0.138506976
RR,4,0.049704816,-0.078941532,-0.012656687
IBI,1,-0.599623491,-0.001766132,0.237919141
IBI,2,-0.43691154,0.088086658,0.424154904
IBI,3,-0.671366883,-0.041010893,0.527143155
IBI,4,-0.331881454,0.217643211,0.441055218
RSA,1,-0.330679695,0.175659828,-0.016525714
RSA,2,-0.119485292,0.225311931,0.100593804
RSA,3,-0.416131167,0.028875801,0.179779292
RSA,4,0.04184843,0.301962364,0.104343937
MAP,1,0.355122862,-0.419003326,-0.036157246
MAP,2,0.336411885,-0.374662609,0.017826825
MAP,3,0.026515383,-0.704674833,-0.143068514
MAP,4,0.349894795,-0.411373851,0.131482626
LVET,1,-0.702963755,0.213062462,0.545520563
LVET,2,-0.730224619,0.138156054,0.602061563
LVET,3,-0.879904065,-0.038891726,0.512181522
LVET,4,-0.538953948,0.130458176,0.584784602
CO,1,0.405204173,-0.269888527,-0.31991417
CO,2,0.642554652,-0.166433776,-0.274286444
CO,3,0.384778142,-0.216273291,-0.330443645
CO,4,0.304708101,-0.097715656,-0.219182191
PEP,1,0.681296911,-0.285751585,-0.500347282
PEP,2,0.792524668,-0.263831558,-0.505196203
PEP,3,0.86418223,-0.203346349,-0.504542416
PEP,4,0.584907977,-0.22268755,-0.547692362
TPR,1,-0.368207242,0.176197971,0.346276504
TPR,2,-0.351618718,0.315363705,0.407670219
TPR,3,-0.609378867,-0.03373,0.201562745
TPR,4,-0.457530066,0.19270916,0.277208573
