VarTrial,threat_cluster_means,challenge_cluster_means
SCR1,0.240783019,0.070540939
SCR2,0.132807069,-0.176822145
SCR3,-0.047152846,-0.079643791
SCR4,-0.065593524,-0.403235091
SCL1,-0.166535992,1.591400418
SCL2,-0.197274997,1.281006151
SCL3,-0.267080916,1.098857837
SCL4,-0.287225311,0.966727616
RR1,0.125834425,0.436634307
RR2,-0.185006754,0.16879292
RR3,-0.012815113,0.244584018
RR4,-0.091768012,0.20502998
IBI1,0.052351446,-1.407874157
IBI2,0.25839417,-0.836932317
IBI3,0.247114362,-0.910177064
IBI4,-0.2872253,0.96672762
RSA1,-0.050821181,-0.86939611
RSA2,0.158444173,-0.307828812
RSA3,0.152991816,-0.469153375
RSA4,-0.2872253,0.96672762
MAP1,-0.014326655,0.286661231
MAP2,-0.014326655,0.286661231
MAP3,-0.066725078,0.402163361
MAP4,-0.2872253,0.96672762
LVET1,-0.147707959,-0.082113709
LVET2,-0.088215605,0.232023731
LVET3,0.086313779,0.124626316
LVET4,-0.2872253,0.96672762
CO1,-0.128789795,0.806823175
CO2,-0.169289787,0.70603936
CO3,-0.137007103,0.707721593
CO4,-0.2872253,0.96672762
PEP1,0.16249909,-0.895056918
PEP2,0.206430104,-1.080629493
PEP3,0.195645887,-0.955368005
PEP4,-0.2872253,0.96672762
TPR1,0.101231039,-0.541624742
TPR2,0.156600917,-0.410936
TPR3,0.042342164,-0.340087136
TPR4,-0.2872253,0.96672762
